ActionType,ActionParameters,duration,,,,,,
GetDetail,Article 227,3,,,,,,
GetDetail,Article 162,6,,,,,,
GetDetail,Article 408,75,,,,,,
GetDetail,Article 3,11,,,,,,
GetDetail,Article 86,27,,,,,,
GetDetail,Article 3,70,,,,,,
GetDetail,Article 81,44,,,,,,
GetDetail,Article 81,61,,,,,,
GetDetail,Article 164,28,,,,,,
Search,Edvard  from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Edvard from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,10,,,,,,
GetDetail,Employee Record 1,9,,,,,,
GetDetail,Employee Record 1,1,,,,,,
GetDetail,Employee Record 1,3,,,,,,
GetDetail,Employee Record 1,1,,,,,,
GetDetail,Employee Record 2,2,,,,,,
GetDetail,Employee Record 1,4,,,,,,
GetDetail,Employee Record 2,4,,,,,,
GetDetail,Employee Record 2,6,,,,,,
GetDetail,Bio-Ada%20Campo.pdf,38,,,,,,
GetDetail,Bio-Ingrid%20Barranco.pdf,0,,,,,,
GetDetail,Bio-OrhanStrum.pdf,28,,,,,,
GetDetail,Bio-Sten%20SanjorgeJr.pdf,98,,,,,,
GetDetail,Bio-Willem%20Vasco.pdf,0,,,,,,
GetDetail,Bio-Sten%20SanjorgeJr.pdf,74,,,,,,
GetDetail,Bio-Willem%20Vasco.pdf,21,,,,,,
GetDetail,Resume-AdanMorlun.pdf,101,,,,,,
GetDetail,Resume-LucasAlcazar.pdf,18,,,,,,
GetDetail,Resume-StenigFusil.pdf,15,,,,,,
GetDetail,Employee Record 1,5,,,,,,
GetDetail,Email Header 1170,3,,,,,,
GetDetail,Email Header 1156,5,,,,,,
GetDetail,Email Header 1156,5,,,,,,
GetDetail,Email Header 1156,4,,,,,,
GetDetail,Email Header 1142,3,,,,,,
GetDetail,Email Header 1142,8,,,,,,
GetDetail,Email Header 1155,5,,,,,,
GetDetail,Email Header 1154,3,,,,,,
GetDetail,Email Header 1154,2,,,,,,
GetDetail,Email Header 1154,89,,,,,,
GetDetail,Employee Record 1,5,,,,,,
GetDetail,Employee Record 1,4,,,,,,
GetDetail,Employee Record 2,4,,,,,,
GetDetail,Employee Record 2,7,,,,,,
GetDetail,Employee Record 2,8,,,,,,
GetDetail,Employee Record 3,5,,,,,,
GetDetail,Employee Record 3,7,,,,,,
Search,Pantanal from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search,Pantanal from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
GetDetail,Employee Record 3,2,,,,,,
GetDetail,Employee Record 3,2,,,,,,
Search,Pantanal from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
GetDetail,Article 406,7,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,140,,,,,,
GetDetail,Article 121,54,,,,,,
GetDetail,Article 265,43,,,,,,
GetDetail,Article 265,14,,,,,,
GetDetail,Article 227,206,,,,,,
GetDetail,Article 56,135,,,,,,
Search,POK from 1982-01-01 to 2015-01-01 page 0,11,,,,,,
Search,POK from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
GetDetail,Article 50,5,,,,,,
GetDetail,Article 3,14,,,,,,
GetDetail,Article 112,4,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,10,,,,,,
GetDetail,Article 322,8,,,,,,
GetDetail,Article 306,10,,,,,,
GetDetail,Article 340,6,,,,,,
GetDetail,Article 27,4,,,,,,
GetDetail,Article 408,12,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 1,7,,,,,,
GetDetail,Article 454,4,,,,,,
GetDetail,Article 152,5,,,,,,
GetDetail,Article 50,5,,,,,,
GetDetail,Article 423,9,,,,,,
GetDetail,Article 3,8,,,,,,
GetDetail,Article 86,21,,,,,,
GetDetail,Article 105,30,,,,,,
GetDetail,Article 81,31,,,,,,
GetDetail,Article 210,0,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,93,,,,,,
GetDetail,Article 406,0,,,,,,
Search,None from 1982-01-20 to 2015-01-01 page 0,30,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,8,,,,,,
Search,None from 1982-01-20 to 2015-01-01 page 0,9,,,,,,
Search,None from 1982-01-20 to 1982-01-21 page 0,14,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,78,,,,,,
GetDetail,Bio-Ingrid%20Barranco.pdf,43,,,,,,
GetDetail,Bio-OrhanStrum.pdf,0,,,,,,
GetDetail,Article 265,52,,,,,,
GetDetail,Article 265,6,,,,,,
GetDetail,Article 227,0,,,,,,
GetDetail,Article 227,0,,,,,,
GetDetail,Article 56,25,,,,,,
GetDetail,Article 279,0,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,0,,,,,,
EditNotes,VASTCER_revision_2_June_19_10:01_AM.patch,0,,,,,,
GetDetail,Article 408,116,,,,,,
GetDetail,Article 406,9,,,,,,
GetDetail,Article 121,14,,,,,,
GetDetail,Article 265,22,,,,,,
GetDetail,Article 227,18,,,,,,
GetDetail,Article 56,51,,,,,,
GetDetail,Employee Record 15,6,,,,,,
GetDetail,Employee Record 14,10,,,,,,
GetDetail,Employee Record 13,5,,,,,,
GetDetail,Employee Record 12,2,,,,,,
GetDetail,Employee Record 11,2,,,,,,
GetDetail,Employee Record 10,1,,,,,,
GetDetail,Employee Record 9,2,,,,,,
GetDetail,Employee Record 8,3,,,,,,
GetDetail,Employee Record 7,2,,,,,,
GetDetail,Employee Record 6,2,,,,,,
GetDetail,Employee Record 4,2,,,,,,
GetDetail,Employee Record 3,2,,,,,,
GetDetail,Employee Record 2,2,,,,,,
GetDetail,Employee Record 1,7,,,,,,
GetDetail,Article 99,2,,,,,,
GetDetail,Article 99,57,,,,,,
GetDetail,Resume-SvenFlecha.pdf,8,,,,,,
GetDetail,Article 59,3,,,,,,
GetDetail,Article 99,9,,,,,,
GetDetail,Article 121,1,,,,,,
GetDetail,Article 265,44,,,,,,
GetDetail,Article 265,1,,,,,,
EditNotes,VASTCER_revision_3_June_19_10:11_AM.patch,4,,,,,,
GetDetail,Article 227,12,,,,,,
GetDetail,Article 56,39,,,,,,
AddElement,enviornment,15,,,,,,
Search,environment from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,environment from 1982-01-01 to 2015-01-01 page 0,13,,,,,,
GetDetail,Article 406,11,,,,,,
GetDetail,Article 265,15,,,,,,
GetDetail,Article 408,2,,,,,,
GetDetail,Article 81,20,,,,,,
GetDetail,Article 110,60,,,,,,
GetDetail,Article 328,44,,,,,,
GetDetail,Article 308,63,,,,,,
EditNotes,VASTCER_revision_4_June_19_10:16_AM.patch,51,,,,,,
Search,Mestache Vardshvna from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Mestache Vardshvna from 1982-01-01 to 2015-01-01 page 0,7,,,,,,
EditNotes,VASTCER_revision_6_June_19_10:17_AM.patch,1,,,,,,
GetDetail,Article 265,36,,,,,,
GetDetail,Article 308,4,,,,,,
GetDetail,Article 265,24,,,,,,
Search,Elian Karel from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,Elian Karel from 1982-01-01 to 2015-01-01 page 0,11,,,,,,
GetDetail,Article 117,43,,,,,,
EditNotes,VASTCER_revision_7_June_19_10:19_AM.patch,7,,,,,,
GetDetail,Article 436,6,,,,,,
GetDetail,Article 147,134,,,,,,
GetDetail,Article 320,43,,,,,,
Search,Juliana Vann from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Juliana Vann from 1982-01-01 to 2015-01-01 page 0,11,,,,,,
GetDetail,Article 251,156,,,,,,
EditNotes,VASTCER_revision_8_June_19_10:25_AM.patch,62,,,,,,
GetDetail,Article 222,17,,,,,,
GetDetail,Article 436,56,,,,,,
Search,Marcella Trapani from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Marcella Trapani from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,Marcella Trapani from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
GetDetail,Article 182,12,,,,,,
GetDetail,Article 60,3,,,,,,
GetDetail,Article 54,4,,,,,,
GetDetail,Article 68,11,,,,,,
GetDetail,Article 443,9,,,,,,
GetDetail,Article 35,11,,,,,,
GetDetail,Article 195,14,,,,,,
GetDetail,Article 195,1,,,,,,
GetDetail,Article 195,1,,,,,,
GetDetail,Article 35,2,,,,,,
GetDetail,Article 195,6,,,,,,
GetDetail,Article 219,17,,,,,,
GetDetail,Article 291,6,,,,,,
EditNotes,VASTCER_revision_10_June_19_10:29_AM.patch,10,,,,,,
GetDetail,Article 314,23,,,,,,
Search,Dorel Kapelou from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Dorel Kapelou from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
GetDetail,Article 117,25,,,,,,
GetDetail,Article 251,15,,,,,,
GetDetail,Article 192,32,,,,,,
GetDetail,Article 46,17,,,,,,
GetDetail,Article 429,22,,,,,,
GetDetail,Article 52,4,,,,,,
GetDetail,Article 436,61,,,,,,
GetDetail,Article 251,9,,,,,,
GetDetail,Article 117,17,,,,,,
EditNotes,VASTCER_revision_11_June_19_10:33_AM.patch,18,,,,,,
Search,water from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,water from 1982-01-01 to 2015-01-01 page 0,31,,,,,,
GetDetail,Article 143,14,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
GetDetail,Bio-Ada%20Campo.pdf,11,,,,,,
GetDetail,Bio-Ingrid%20Barranco.pdf,6,,,,,,
GetDetail,Resume-SvenFlecha.pdf,11,,,,,,
GetDetail,Resume-StenigFusil.pdf,13,,,,,,
GetDetail,Resume-RachelPantanal.pdf,15,,,,,,
GetDetail,Resume-MinkeMies.pdf,17,,,,,,
GetDetail,Resume-MinkeMies.pdf,2,,,,,,
GetDetail,Resume-MarinOnda.pdf,12,,,,,,
GetDetail,Resume-LucasAlcazar.pdf,7,,,,,,
GetDetail,Resume-LoretoBodrogi.pdf,13,,,,,,
GetDetail,Resume-LinneaBergen.pdf,9,,,,,,
GetDetail,Resume-LindaLagos.pdf,5,,,,,,
GetDetail,Resume-LidelseDedos.pdf,3,,,,,,
GetDetail,Resume-LarsAzada.pdf,4,,,,,,
GetDetail,Resume-IsiaVann.pdf,6,,,,,,
GetDetail,Resume-IsandeBorrasca.pdf,4,,,,,,
GetDetail,Resume-IsakBaza.pdf,2,,,,,,
GetDetail,Resume-IreneNant.pdf,3,,,,,,
GetDetail,Resume-HidekiCocinaro.pdf,4,,,,,,
GetDetail,Resume-FelixResumir.pdf,3,,,,,,
GetDetail,Resume-FelixBalas.pdf,4,,,,,,
GetDetail,Resume-EmileArpa.pdf,10,,,,,,
GetDetail,Resume-EmileArpa.pdf,2,,,,,,
GetDetail,Resume-ElsaOrilla.pdf,5,,,,,,
GetDetail,Resume-DanteCoginian.pdf,5,,,,,,
GetDetail,Resume-CorneliaLais.pdf,9,,,,,,
GetDetail,Resume-ClaudioHawelon.pdf,28,,,,,,
GetDetail,Resume-CarlaForluniau.pdf,4,,,,,,
GetDetail,Resume-BertrandOvan.pdf,4,,,,,,
GetDetail,Resume-AxelCalzas.pdf,3,,,,,,
GetDetail,Resume-AndaRibera.pdf,7,,,,,,
GetDetail,Bio-Ada%20Campo.pdf,3,,,,,,
GetDetail,Bio-OrhanStrum.pdf,4,,,,,,
GetDetail,Bio-Sten%20SanjorgeJr.pdf,7,,,,,,
GetDetail,Bio-Willem%20Vasco.pdf,45,,,,,,
GetDetail,Resume-AdanMorlun.pdf,94,,,,,,
Search,POK from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,7,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 1,8,,,,,,
GetDetail,Article 81,33,,,,,,
GetDetail,Article 446,90,,,,,,
EditNotes,VASTCER_revision_12_June_19_10:43_AM.patch,36,,,,,,
GetDetail,Article 419,70,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 2,3,,,,,,
GetDetail,Article 267,71,,,,,,
EditNotes,VASTCER_revision_13_June_19_10:46_AM.patch,50,,,,,,
Search,Vann from 1982-01-01 to 2015-01-01 page 0,9,,,,,,
Search,Vann from 1982-01-01 to 2015-01-01 page 0,14,,,,,,
GetDetail,Article 264,24,,,,,,
GetDetail,Resume-IsiaVann.pdf,18,,,,,,
GetDetail,Employee Record 50,5,,,,,,
GetDetail,Employee Record 49,60,,,,,,
EditNotes,VASTCER_revision_14_June_19_10:49_AM.patch,47,,,,,,
Search,Vann from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 1,1,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 2,1,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 3,2,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 4,3,,,,,,
GetDetail,Article 112,47,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 5,2,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 6,8,,,,,,
GetDetail,Article 79,22,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 7,2,,,,,,
GetDetail,Article 221,18,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 8,4,,,,,,
GetDetail,Article 78,8,,,,,,
GetDetail,Article 165,9,,,,,,
GetDetail,Article 289,80,,,,,,
GetDetail,Employee Record 22,38,,,,,,
GetDetail,Employee Record 35,6,,,,,,
GetDetail,Employee Record 34,2,,,,,,
GetDetail,Employee Record 35,3,,,,,,
GetDetail,Employee Record 34,15,,,,,,
GetDetail,Employee Record 50,2,,,,,,
GetDetail,Employee Record 49,16,,,,,,
GetDetail,Article 5,16,,,,,,
GetDetail,Resume-MinkeMies.pdf,1,,,,,,
EditNotes,VASTCER_revision_15_June_19_10:55_AM.patch,6,,,,,,
GetDetail,Employee Record 50,22,,,,,,
GetDetail,Employee Record 50,1,,,,,,
GetDetail,Employee Record 50,22,,,,,,
GetDetail,Resume-IsiaVann.pdf,24,,,,,,
Search,fire truck from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,fire truck from 1982-01-01 to 2015-01-01 page 0,7,,,,,,
Search,fire from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,fire from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
GetDetail,Article 227,21,,,,,,
GetDetail,Article 279,6,,,,,,
GetDetail,Article 408,6,,,,,,
GetDetail,Article 81,21,,,,,,
GetDetail,Article 210,15,,,,,,
GetDetail,Article 446,45,,,,,,
Search,truck from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,truck from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,truck from 1982-01-01 to 2015-01-01 page 0,12,,,,,,
Search,trucker from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,15,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,14,,,,,,
Search,Truck from 1982-01-01 to 2015-01-01 page 0,6,,,,,,
Search,Truck from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
GetDetail,Employee Record 37,1,,,,,,
GetDetail,Employee Record 37,3,,,,,,
GetDetail,Employee Record 36,2,,,,,,
GetDetail,Employee Record 35,3,,,,,,
GetDetail,Employee Record 34,1,,,,,,
GetDetail,Employee Record 33,1,,,,,,
GetDetail,Employee Record 32,2,,,,,,
GetDetail,Employee Record 31,3,,,,,,
GetDetail,Employee Record 30,8,,,,,,
GetDetail,Article 103,36,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,14,,,,,,
GetDetail,Employee Record 15,9,,,,,,
GetDetail,Resume-BertrandOvan.pdf,8,,,,,,
Search,Vann from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Vann from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
GetDetail,Employee Record 50,16,,,,,,
Search,Edvard from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Edvard from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Edvard from 1982-01-01 to 2015-01-01 page 0,9,,,,,,
Search,Edvard from 1982-01-01 to 2015-01-01 page 0,11,,,,,,
GetDetail,Article 446,46,,,,,,
GetDetail,Article 213,110,,,,,,
GetDetail,Article 442,16,,,,,,
GetDetail,Article 302,111,,,,,,
GetDetail,Article 164,23,,,,,,
GetDetail,Article 253,14,,,,,,
EditNotes,VASTCER_revision_17_June_19_11:07_AM.patch,28,,,,,,
Search,Vann from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Vann from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
GetDetail,Employee Record 49,268,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,20,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 2,1,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 3,2,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 4,1,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 5,2,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 6,2,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 7,2,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 8,2,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 9,2,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 10,4,,,,,,
GetDetail,Article 240,6,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 11,2,,,,,,
GetDetail,Article 384,30,,,,,,
GetDetail,Article 114,3,,,,,,
GetDetail,Article 205,30,,,,,,
GetDetail,Article 176,6,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 12,2,,,,,,
GetDetail,Article 283,102,,,,,,
GetDetail,Article 328,3,,,,,,
GetDetail,Article 17,7,,,,,,
GetDetail,Article 283,2,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 13,6,,,,,,
GetDetail,Article 228,58,,,,,,
EditNotes,VASTCER_revision_18_June_19_11:17_AM.patch,113,,,,,,
GetDetail,Article 437,7,,,,,,
EditNotes,VASTCER_revision_19_June_19_11:19_AM.patch,5,,,,,,
GetDetail,Article 308,42,,,,,,
GetDetail,Article 288,10,,,,,,
GetDetail,Article 143,63,,,,,,
EditNotes,VASTCER_revision_20_June_19_11:21_AM.patch,46,,,,,,
GetDetail,Article 147,14,,,,,,
EditNotes,VASTCER_revision_21_June_19_11:22_AM.patch,24,,,,,,
GetDetail,Article 209,32,,,,,,
GetDetail,Article 236,2,,,,,,
GetDetail,Article 353,6,,,,,,
GetDetail,Article 320,73,,,,,,
GetDetail,Article 40,5,,,,,,
GetDetail,Article 421,11,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 14,10,,,,,,
GetDetail,Article 148,17,,,,,,
EditNotes,VASTCER_revision_22_June_19_11:25_AM.patch,40,,,,,,
GetDetail,Article 201,19,,,,,,
GetDetail,Article 163,1,,,,,,
EditNotes,VASTCER_revision_24_June_19_11:26_AM.patch,177,,,,,,
GetDetail,Article 85,31,,,,,,
GetDetail,Article 160,7,,,,,,
GetDetail,Article 45,10,,,,,,
GetDetail,Article 212,20,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 15,4,,,,,,
GetDetail,Article 343,15,,,,,,
GetDetail,Article 377,5,,,,,,
GetDetail,Article 401,11,,,,,,
GetDetail,Article 149,72,,,,,,
GetDetail,Article 339,6,,,,,,
GetDetail,Article 274,2,,,,,,
GetDetail,Article 39,2,,,,,,
GetDetail,Article 395,7,,,,,,
GetDetail,Article 106,11,,,,,,
GetDetail,Article 377,4,,,,,,
GetDetail,Article 401,36,,,,,,
EditNotes,VASTCER_revision_28_June_19_11:33_AM.patch,98,,,,,,
GetDetail,Article 343,4,,,,,,
GetDetail,Article 401,18,,,,,,
EditNotes,VASTCER_revision_30_June_19_11:35_AM.patch,64,,,,,,
GetDetail,Article 307,16,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 16,13,,,,,,
GetDetail,Article 172,6,,,,,,
GetDetail,Article 311,10,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 17,4,,,,,,
GetDetail,Article 254,13,,,,,,
GetDetail,Article 235,29,,,,,,
GetDetail,Article 141,22,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 18,2,,,,,,
GetDetail,Article 425,1,,,,,,
EditNotes,VASTCER_revision_32_June_19_11:38_AM.patch,5,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 19,10,,,,,,
GetDetail,Article 146,19,,,,,,
GetDetail,Article 396,26,,,,,,
EditNotes,VASTCER_revision_33_June_19_11:39_AM.patch,21,,,,,,
Search,Silvia Marek from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,Silvia Marek from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
GetDetail,Article 40,31,,,,,,
EditNotes,VASTCER_revision_34_June_19_11:40_AM.patch,23,,,,,,
Search,Silvia Marek from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Antonio Arresta from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Antonio Arresta from 1982-01-01 to 2015-01-01 page 0,23,,,,,,
Search,Bianca from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Bianca from 1982-01-01 to 2015-01-01 page 0,7,,,,,,
EditNotes,VASTCER_revision_35_June_19_11:41_AM.patch,3,,,,,,
GetDetail,Article 437,2,,,,,,
GetDetail,Article 228,42,,,,,,
Search,Mestache Vardshvna from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Mestache Vardshvna from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
GetDetail,Article 265,8,,,,,,
GetDetail,Article 308,8,,,,,,
GetDetail,Article 265,52,,,,,,
EditNotes,VASTCER_revision_37_June_19_11:43_AM.patch,57,,,,,,
GetDetail,Article 308,25,,,,,,
Search,Elon Carol from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,Elon Carol from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Elon Carol from 1982-01-01 to 2015-01-01 page 0,6,,,,,,
Search,Elon from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Elon from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Elon from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,carol from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,carol from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Carol from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Carol from 1982-01-01 to 2015-01-01 page 0,13,,,,,,
EditNotes,VASTCER_revision_38_June_19_11:45_AM.patch,15,,,,,,
GetDetail,Article 138,5,,,,,,
GetDetail,Article 334,5,,,,,,
GetDetail,Article 215,2,,,,,,
GetDetail,Article 143,41,,,,,,
Search,Blotter-Abila  from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,Blotter from 1982-01-01 to 2015-01-01 page 0,19,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,12,,,,,,
Search,Ablia from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Ablia from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,Abila from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search,Abila from 1982-01-01 to 2015-01-01 page 0,6,,,,,,
EditNotes,VASTCER_revision_40_June_19_11:47_AM.patch,52,,,,,,
Search,Blotter from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Blotter from 1982-01-01 to 2015-01-01 page 0,119,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,75,,,,,,
Search,Orilla from 1982-01-01 to 2015-01-01 page 0,7,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,12,,,,,,
Search,Balas from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,12,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,11,,,,,,
EditNotes,VASTCER_revision_41_June_19_11:52_AM.patch,66,,,,,,
Search,Vann from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Vann from 1982-01-01 to 2015-01-01 page 0,52,,,,,,
EditNotes,VASTCER_revision_42_June_19_11:54_AM.patch,36,,,,,,
Search,Vardshvna from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,Vardshvna from 1982-01-01 to 2015-01-01 page 0,83,,,,,,
EditNotes,VASTCER_revision_43_June_19_11:56_AM.patch,58,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
EditNotes,VASTCER_revision_44_June_19_11:57_AM.patch,81,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,0,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,0,,,,,,
Search,osvaldo from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,osvaldo from 1982-01-01 to 2015-01-01 page 0,22,,,,,,
Search,osvaldo from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,59,,,,,,
Search,Bodrogi from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Bodrogi from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
GetDetail,Resume-LoretoBodrogi.pdf,13,,,,,,
GetDetail,Employee Record 52,13,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
GetDetail,Employee Record 2,1,,,,,,
GetDetail,Employee Record 3,2,,,,,,
GetDetail,Employee Record 4,1,,,,,,
GetDetail,Employee Record 5,8,,,,,,
GetDetail,Employee Record 6,3,,,,,,
GetDetail,Employee Record 7,3,,,,,,
GetDetail,Employee Record 6,1,,,,,,
GetDetail,Employee Record 7,2,,,,,,
GetDetail,Employee Record 8,2,,,,,,
GetDetail,Employee Record 9,1,,,,,,
GetDetail,Employee Record 10,2,,,,,,
GetDetail,Employee Record 11,1,,,,,,
GetDetail,Employee Record 11,2,,,,,,
GetDetail,Employee Record 12,1,,,,,,
GetDetail,Employee Record 13,2,,,,,,
GetDetail,Employee Record 14,1,,,,,,
GetDetail,Employee Record 15,5,,,,,,
GetDetail,Employee Record 5,20,,,,,,
GetDetail,Employee Record 16,1,,,,,,
GetDetail,Employee Record 17,1,,,,,,
GetDetail,Employee Record 18,1,,,,,,
